'WHERE','MALE','FEMALE','TOTAL','YEAR'
'EUROPA (a)',409.744,593.408,1.003.152,2020
'Centro-orientale',409.740,593.400,1.003.140,2020
' Albania',211.966,204.737,416.703,2020
' Bielorussia',1.675,7.318,8.993,2020
' Bosnia-Erzegovina',11.514,9.784,21.298,2020
' Kosovo',25.266,19.727,44.993,2020
' Macedonia, Repubblica di',30986,28.765,59.751,2020
' Moldova',39.922,79.681,119.603,2020
' Montenegro',771,874,1.645,2020
' Russia, Federazione',7564,32.659,40.223,2020
'Serbia e Montenegro (b)',3.621,3.435,7.056,2020
' Serbia',14.798,15.636,30.434,2020
' Turchia',12.204,9.598,21.802,2020
' Ucraina',49.453,181.186,230.639,2020
'Altri paesi europei',4,8,12,2020
' Andorra',4,8,12,2020
,,,,
'AFRICA',668.963,439.535,1.108.498,2020
'Settentrionale',399.040,296.229,695.269,2020
' Algeria',12.226,7.906,20.132,2020
' Egitto',94.444,47.008,141.452,2020
' Libia',1.759,839,2.598,2020
' Marocco',228.186,200.649,428.835,2020
'Sud Sudan, Repubblica del',78,59,137,2020
' Sudan',1.844,492,2.336,2020
' Tunisia',60.503,39.276,99.779,2020
'Occidentale',237.859,112.232,350.091,2020
' Benin',1.544,933,2.477,2020
' Burkina Faso',8.919,4.673,13.592,2020
' Capo Verde',1.345,2.731,4.076,2020
' Costa d''Avorio',16846,9.687,26.533,2020
' Gambia',16.249,630,16.879,2020
' Ghana',30.148,16.741,46.889,2020
' Guinea',8.295,1.565,9.860,2020
' Guinea Bissau',1.616,189,1.805,2020
' Liberia',762,161,923,2020
' Mali',17.085,818,17.903,2020
' Mauritania',610,229,839,2020
' Niger',1.047,297,1.344,2020
' Nigeria',54.858,43.081,97.939,2020
' Senegal',73.921,28.191,102.112,2020
' Sierra Leone',1.275,456,1.731,2020
' Togo',3.339,1.850,5.189,2020
'Orientale',19.228,19.323,38.551,2020
' Burundi',246,361,607,2020
' Comore',6,5,11,2020
' Eritrea',3.934,3.700,7.634,2020
' Etiopia',2.980,4.566,7.546,2020
' Gibuti',18,10,28,2020
' Kenya',971,1.663,2.634,2020
' Madagascar',452,1.056,1.508,2020
' Malawi',44,39,83,2020
' Mauritius',2.305,3.089,5.394,2020
' Mozambico',146,237,383,2020
' Ruanda',258,299,557,2020
' Seychelles',119,290,409,2020
' Somalia',6.617,2.775,9.392,2020
' Tanzania',585,627,1.212,2020
' Uganda',327,344,671,2020
' Zambia',114,117,231,2020
' Zimbabwe',106,145,251,2020
'Centro-meridionale',12.836,11.751,24.587,2020
' Angola',606,575,1.181,2020
' Botswana',9,8,17,2020
' Camerun',7.860,6.900,14.760,2020
' Centrafricana, Rep.',133,65,198,2020
' Ciad',290,82,372,2020
' Congo',1.166,1.038,2.204,2020
' Congo,Rep.Democratica',2223,2.284,4.507,2020
' Gabon',144,196,340,2020
' Guinea equatoriale',40,63,103,2020
' Lesotho',14,9,23,2020
' Namibia',15,26,41,2020
' Sao Tome''e Principe',13,14,27,2020
' Sud Africa',309,478,787,2020
' Swaziland',14,13,27,2020
,,,,
'ASIA',615.466,498.809,1.114.275,2020
'Occidentale',27.364,29.446,56.810,2020
'Arabia Saudita',177,82,259,2020
'Armenia',459,792,1.251,2020
'Azerbaigian',738,559,1.297,2020
'Bahrein',52,21,73,2020
'Emirati Arabi Uniti',52,10,62,2020
'Georgia',2.735,12.646,15.381,2020
'Giordania',1.213,839,2.052,2020
'Iran',6699,6.696,13.395,2020
'Iraq',5.530,1.403,6.933,2020
'Israele',1.164,1.036,2.200,2020
'Kuwait',119,21,140,2020
'Libano',2.785,1.723,4.508,2020
'Oman',15,11,26,2020
'Qatar',137,8,145,2020
'Siria',4.318,3.113,7.431,2020
'Palestina',952,383,1.335,2020
'Yemen',219,103,322,2020
'Centro-meridionale',364.549,207.302,571.851,2020
'Afghanistan',13.708,1.173,14.881,2020
'Bangladesh',104.214,44.175,148.389,2020
'Bhutan',8,11,19,2020
'India',96.505,69.158,165.663,2020
'Kazakhstan',387,1.808,2.195,2020
'Kirghizistan',323,1.234,1.557,2020
'Maldive',21,,21,2020
'Nepal',1.072,770,1.842,2020
'Pakistan',92.728,38.445,131.173,2020
'Sri Lanka',55.147,49.541,104.688,2020
'Tagikistan',34,33,67,2020
'Turkmenistan',34,55,89,2020
'Uzbekistan',368,899,1.267,2020
'Orientale',223.553,262.061,485.614,2020
'Brunei',4,4,8,2020
'Cambogia',53,148,201,2020
'Cina,Rep.Popolare',149317,151.756,301.073,2020
'Corea,Rep.Pop.Dem.',7,10,17,2020
'Corea,Rep.',1680,2.597,4.277,2020
'Filippine',67.446,90.218,157.664,2020
'Giappone',2.365,6.009,8.374,2020
'Indonesia',645,2.496,3.141,2020
'Laos',15,53,68,2020
'Malaysia',179,283,462,2020
'Mongolia',78,191,269,2020
