'WHERE','MALE','FEMALE','TOTAL','YEAR'
'EUROPA (a)',483.641,668.584,1.152.225,2016
'Centro-orientale',483.641,668.584,1.152.225,2016
' Albania',249.589,233.370,482.959,2016
' Bielorussia',1.650,7.404,9.054,2016
' Bosnia-Erzegovina',15.430,12.567,27.997,2016
' Macedonia,ex Rep.Jugoslava',43330,37.463,80.793,2016
' Moldova',46.779,94.526,141.305,2016
' Russia, Federazione',7452,33.084,40.536,2016
' Serbia/ Kosovo/ Montenegro (b)',56.652,50.318,106.970,2016
' Turchia',12.792,9.678,22.470,2016
' Ucraina',49.967,190.174,240.141,2016
,,,,
'AFRICA',744.279,483.502,1.227.781,2016
'Settentrionale',475.085,329.933,805.018,2016
' Algeria',17.631,10.373,28.004,2016
' Egitto',99.214,44.018,143.232,2016
' Libia',1.210,666,1.876,2016
' Marocco',280.487,229.963,510.450,2016
'Sud Sudan, Repubblica del',26,20,46,2016
' Sudan',2.078,511,2.589,2016
' Tunisia',74.439,44.382,118.821,2016
'Occidentale',232.797,117.940,350.737,2016
' Benin',1.835,1.186,3.021,2016
' Burkina Faso',10.663,5.742,16.405,2016
' Capo Verde',1.529,3.335,4.864,2016
' Costa d''Avorio',17130,11.567,28.697,2016
' Gambia',11.869,418,12.287,2016
' Ghana',35.258,21.914,57.172,2016
' Guinea',4.654,1.670,6.324,2016
' Guinea Bissau',1.187,200,1.387,2016
' Liberia',1.067,227,1.294,2016
' Mali',13.157,678,13.835,2016
' Mauritania',771,282,1.053,2016
' Niger',911,343,1.254,2016
' Nigeria',49.662,39.291,88.953,2016
' Senegal',78.742,28.518,107.260,2016
' Sierra Leone',899,543,1.442,2016
' Togo',3.463,2.026,5.489,2016
'Orientale',23.249,23.270,46.519,2016
' Burundi',245,328,573,2016
' Comore',5,'-',5,2016
' Eritrea',6.055,5.193,11.248,2016
' Etiopia',3.497,5.535,9.032,2016
' Gibuti',16,12,28,2016
' Kenya',989,1.613,2.602,2016
' Madagascar',448,1.051,1.499,2016
' Malawi',35,36,71,2016
' Mauritius',3.308,4.262,7.570,2016
' Mozambico',150,227,377,2016
' Ruanda',263,298,561,2016
' Seychelles',147,368,515,2016
' Somalia',7.025,3.214,10.239,2016
' Tanzania',564,603,1.167,2016
' Uganda',322,305,627,2016
' Zambia',103,124,227,2016
' Zimbabwe',77,101,178,2016
'Centro-meridionale',13.148,12.359,25.507,2016
' Angola',806,726,1.532,2016
