'WHERE','MALE','FEMALE','TOTAL','YEAR'
'EUROPA (a)',446.798,629.725,1.076.523,2017
'Centro-orientale',446.798,629.725,1.076.523,2017
' Albania',227.010,214.828,441.838,2017
' Bielorussia',1.636,7.300,8.936,2017
' Bosnia-Erzegovina',14.315,11.606,25.921,2017
' Kosovo',27.887,21.947,49.834,2017
' Macedonia, Repubblica di',38203,33.939,72.142,2017
' Moldova',43.128,87.319,130.447,2017
' Montenegro',906,966,1.872,2017
' Russia, Federazione',7334,32.790,40.124,2017
' Serbia',7.856,7.294,15.150,2017
' Turchia',17.202,17.507,34.709,2017
' Ucraina',12.321,9.163,21.484,2017
,49.000,185.066,234.066,2017
,,,,
'AFRICA',711.166,445.780,1.156.946,2017
'Settentrionale',431.702,300.621,732.323,2017
' Algeria',15.630,9.030,24.660,2017
' Egitto',95.082,42.586,137.668,2017
' Libia',1.321,719,2.040,2017
' Marocco',248.425,206.392,454.817,2017
'Sud Sudan, Repubblica del',34,21,55,2017
' Sudan',2.128,487,2.615,2017
' Tunisia',69.082,41.386,110.468,2017
'Occidentale',243.535,110.602,354.137,2017
' Benin',1.732,1.087,2.819,2017
' Burkina Faso',10.072,5.118,15.190,2017
' Capo Verde',1.446,3.191,4.637,2017
' Costa d''Avorio',18473,10.641,29.114,2017
' Gambia',15.445,462,15.907,2017
' Ghana',32.585,18.215,50.800,2017
' Guinea',7.296,1.555,8.851,2017
' Guinea Bissau',1.461,174,1.635,2017
' Liberia',1.099,207,1.306,2017
' Mali',16.537,700,17.237,2017
' Mauritania',771,268,1.039,2017
' Niger',1.044,320,1.364,2017
' Nigeria',54.191,39.724,93.915,2017
' Senegal',76.742,26.556,103.298,2017
' Sierra Leone',1.116,517,1.633,2017
' Togo',3.525,1.867,5.392,2017
'Orientale',22.897,22.498,45.395,2017
' Burundi',226,317,543,2017
' Comore',6,3,9,2017
' Eritrea',6.156,5.158,11.314,2017
' Etiopia',3.388,5.311,8.699,2017
' Gibuti',18,14,32,2017
' Kenya',975,1.607,2.582,2017
' Madagascar',438,1.011,1.449,2017
' Malawi',44,31,75,2017
' Mauritius',2.819,3.748,6.567,2017
' Mozambico',122,221,343,2017
' Ruanda',260,261,521,2017
' Seychelles',132,357,489,2017
' Somalia',7.275,3.332,10.607,2017
' Tanzania',543,611,1.154,2017
' Uganda',304,302,606,2017
' Zambia',108,109,217,2017
' Zimbabwe',83,105,188,2017
'Centro-meridionale',13.032,12.059,25.091,2017
' Angola',721,654,1.375,2017
' Botswana',8,6,14,2017
' Camerun',7.384,6.717,14.101,2017
' Centrafricana, Rep.',132,61,193,2017
' Ciad',368,109,477,2017
' Congo',1.532,1.438,2.970,2017
' Congo,Rep.Democratica',2368,2.410,4.778,2017
' Gabon',125,148,273,2017
' Guinea equatoriale',49,48,97,2017
' Lesotho',13,8,21,2017
' Namibia',14,18,32,2017
' Sao Tome''e Principe',13,20,33,2017
' Sud Africa',296,407,703,2017
' Swaziland',9,15,24,2017
,,,,
'ASIA',609.126,483.278,1.092.404,2017
'Occidentale',23.624,25.921,49.545,2017
'Arabia Saudita',107,72,179,2017
'Armenia',400,694,1.094,2017
'Azerbaigian',378,315,693,2017
'Bahrein',15,9,24,2017
'Emirati Arabi Uniti',20,6,26,2017
'Georgia',2.400,11.608,14.008,2017
'Giordania',1.462,954,2.416,2017
'Iran',6323,5.767,12.090,2017
'Iraq',3.569,877,4.446,2017
'Israele',1.244,1.015,2.259,2017
'Kuwait',83,14,97,2017
'Libano',2.918,1.777,4.695,2017
'Oman',28,10,38,2017
'Qatar',14,2,16,2017
'Siria',3.571,2.343,5.914,2017
'Territori dell''Autonomia Palestinese',939,359,1.298,2017
'Yemen',153,99,252,2017
'Centro-meridionale',348.821,186.310,535.131,2017
'Afghanistan',14.360,768,15.128,2017
'Bangladesh',96.421,35.976,132.397,2017
'Bhutan',11,9,20,2017
'India',95.143,62.835,157.978,2017
'Kazakhstan',345,1.591,1.936,2017
'Kirghizistan',230,1.042,1.272,2017
'Maldive',20,3,23,2017
'Nepal',1.025,661,1.686,2017
'Pakistan',84.554,33.627,118.181,2017
'Sri Lanka',56.333,48.699,105.032,2017
'Tagikistan',26,30,56,2017
'Turkmenistan',21,47,68,2017
'Uzbekistan',332,1.022,1.354,2017
'Orientale',236.681,271.047,507.728,2017
'Brunei',1,3,4,2017
'Cambogia',51,140,191,2017
'Cina,Rep.Popolare',160714,158.261,318.975,2017
'Corea,Rep.Pop.Dem.',28,13,41,2017
'Corea,Rep.',1592,2.556,4.148,2017
'Filippine',69.319,93.150,162.469,2017
