'WHERE','MALE','FEMALE','TOTAL','YEAR'
'EUROPA (a)',503.666,679.990,1.183.656,2014
'Centro-orientale',503.666,679.990,1.183.656,2014
' Albania',262.569,239.977,502.546,2014
' Bielorussia',1.588,7.366,8.954,2014
' Bosnia-Erzegovina',16.712,13.314,30.026,2014
' Croazia',1.416,1.281,2.697,2014
' Macedonia,ex Rep.Jugoslava',46.221,38.097,84.318,2014
' Moldova',49.429,100.592,150.021,2014
' Russia, Federazione',7.079,32.235,39.314,2014
' Serbia/ Kosovo/ Montenegro (b)',58.614,50.860,109.474,2014
' Turchia',13.072,9.508,22.580,2014
' Ucraina',46.966,186.760,233.726,2014
,,,,
'AFRICA',713.386,478.529,1.191.915,2014
'Settentrionale',488.263,327.855,816.118,2014
' Algeria',18.561,10.531,29.092,2014
' Egitto',95.326,39.958,135.284,2014
' Libia',1.168,604,1.772,2014
' Marocco',293.125,231.650,524.775,2014
'Sud Sudan, Repubblica del',18,7,25,2014
' Sudan',2.327,489,2.816,2014
' Tunisia',77.738,44.616,122.354,2014
'Occidentale',187.432,113.444,300.876,2014
' Benin',1.723,1.240,2.963,2014
' Burkina Faso',10.558,5.641,16.199,2014
' Capo Verde',1.593,3.618,5.211,2014
' Costa d''Avorio',15.702,11.958,27.660,2014
' Gambia',1.813,335,2.148,2014
' Ghana',33.476,23.131,56.607,2014
' Guinea',3.077,1.648,4.725,2014
' Guinea Bissau',420,197,617,2014
' Liberia',1.480,312,1.792,2014
' Mali',5.376,596,5.972,2014
' Mauritania',741,321,1.062,2014
' Niger',798,367,1.165,2014
' Nigeria',34.474,35.651,70.125,2014
' Senegal',71.895,25.886,97.781,2014
' Sierra Leone',807,574,1.381,2014
' Togo',3.499,1.969,5.468,2014
'Orientale',24.656,25.048,49.704,2014
' Burundi',253,370,623,2014
' Comore',4,1,5,2014
' Eritrea',6.699,5.805,12.504,2014
' Etiopia',3.667,5.875,9.542,2014
' Gibuti',18,9,27,2014
' Kenya',933,1.500,2.433,2014
' Madagascar',425,1.017,1.442,2014
' Malawi',33,37,70,2014
' Mauritius',3.997,4.944,8.941,2014
' Mozambico',156,241,397,2014
' Ruanda',278,289,567,2014
' Seychelles',160,424,584,2014
' Somalia',7.004,3.374,10.378,2014
' Tanzania',512,586,1.098,2014
' Uganda',308,329,637,2014
' Zambia',126,126,252,2014
' Zimbabwe',83,121,204,2014
'Centro-meridionale',13.035,12.182,25.217,2014
' Angola',893,812,1.705,2014
' Botswana',12,9,21,2014
' Camerun',6.783,6.448,13.231,2014
' Centrafricana, Rep.',86,57,143,2014
' Ciad',435,107,542,2014
' Congo',1.941,1.794,3.735,2014
' Congo,Rep.Democratica',2.370,2.278,4.648,2014
' Gabon',108,112,220,2014
' Guinea equatoriale',50,53,103,2014
' Lesotho',13,9,22,2014
' Namibia',7,22,29,2014
' Sao Tome''e Principe',13,18,31,2014
' Sud Africa',314,454,768,2014
' Swaziland',10,9,19,2014
,,,,
'ASIA',594.079,479.341,1.073.420,2014
'Occidentale',22.395,25.044,47.439,2014
'Arabia Saudita',122,90,212,2014
'Armenia',396,602,998,2014
'Azerbaigian',213,250,463,2014
'Bahrein',9,11,20,2014
'Emirati Arabi Uniti',8,5,13,2014
'Georgia',1.915,11.159,13.074,2014
'Giordania',1.774,1.093,2.867,2014
'Iran',6.112,5.418,11.530,2014
'Iraq',2.600,787,3.387,2014
'Israele',1.665,1.139,2.804,2014
'Kuwait',31,18,49,2014
'Libano',3.059,1.764,4.823,2014
'Oman',20,26,46,2014
'Qatar',8,4,12,2014
'Siria',3.529,2.253,5.782,2014
'Territori dell''Autonomia Palestinese',810,346,1.156,2014
'Yemen',124,79,203,2014
'Centro-meridionale',330.242,182.535,512.777,2014
'Afghanistan',7.206,544,7.750,2014
'Bangladesh',91.608,36.253,127.861,2014
'Bhutan',13,6,19,2014
'India',99.861,60.435,160.296,2014
'Kazakhstan',325,1.457,1.782,2014
'Kirghizistan',203,994,1.197,2014
'Maldive',17,2,19,2014
'Nepal',869,519,1.388,2014
'Pakistan',72.134,34.351,106.485,2014
'Sri Lanka',57.606,46.799,104.405,2014
'Tagikistan',27,24,51,2014
'Turkmenistan',26,41,67,2014
'Uzbekistan',347,1.110,1.457,2014
'Orientale',241.442,271.762,513.204,2014
' Brunei',2,3,5,2014
' Cambogia',75,149,224,2014
' Cina,Rep.Popolare',163.816,156.978,320.794,2014
' Corea,Rep.Pop.Dem.',18,22,40,2014
' Corea,Rep.',1.621,2.522,4.143,2014
' Filippine',70.529,95.254,165.783,2014
' Giappone',2.606,6.101,8.707,2014
' Indonesia',598,2.177,2.775,2014
' Laos',23,59,82,2014
' Malaysia',152,251,403,2014
' Mongolia',79,181,260,2014
' Myanmar ',130,188,318,2014
' Singapore',82,185,267,2014
' Taiwan',270,614,884,2014
' Thailandia',820,6.057,6.877,2014
' Timor Orientale',9,48,57,2014
' Vietnam',612,973,1.585,2014
,,,,2014
'AMERICA',156.120,266.439,422.559,2014
'Settentrionale  ',15.736,23.575,39.311,2014
' Canada',994,1.534,2.528,2014
' Stati Uniti',14.742,22.041,36.783,2014
'Centro-meridionale',140.384,242.864,383.248,2014
' Antigua e Barbuda',5,6,11,2014
' Argentina',4.055,5.738,9.793,2014
' Bahamas',6,10,16,2014
' Barbados',8,11,19,2014
' Belize',14,2,16,2014
' Bolivia',4.926,8.632,13.558,2014
' Brasile',12.262,34.261,46.523,2014
' Cile',1.523,2.213,3.736,2014
' Colombia',8.024,13.995,22.019,2014
' Costa Rica',182,357,539,2014
' Cuba',5.635,17.315,22.950,2014
' Dominica',253,579,832,2014
' Dominicana,Rep.',10.674,19.469,30.143,2014
' Ecuador',37.746,53.399,91.145,2014
' El Salvador',4.292,7.479,11.771,2014
' Giamaica',68,104,172,2014
' Grenada',4,5,9,2014
' Guatemala',261,578,839,2014
' Guyana',7,13,20,2014
' Haiti',178,203,381,2014
' Honduras',433,1.254,1.687,2014
' Messico',1.988,3.751,5.739,2014
' Nicaragua',211,462,673,2014
' Panama',128,300,428,2014
' Paraguay',514,1.300,1.814,2014
' Peru''',44.435,66.117,110.552,2014
' Saint Kitts e Nevis',2,2,4,2014
' Saint Lucia',7,6,13,2014
' S.Vincent e Grenadine',1,2,3,2014
' Suriname',3,3,6,2014
' Trinidad e Tobago',22,56,78,2014
' Uruguay',565,924,1.489,2014
' Venezuela',1.952,4.318,6.270,2014
,,,,
'OCEANIA',995,1.598,2.593,2014
' Australia',739,1.272,2.011,2014
' Figi',11,14,25,2014
' Kiribati',1,5,6,2014
' Marshall,Isole',8,4,12,2014
' Micronesia,Stati federati',1,3,4,2014
' Nauru','-','-','-',2014
' Nuova Zelanda',195,246,441,2014
' Palau',3,2,5,2014
' Papua Nuova Guinea',6,10,16,2014
' Salomone,Isole',1,2,3,2014
' Samoa',16,26,42,2014
' Tonga',10,8,18,2014
' Tuvalu',1,6,7,2014
' Vanuatu',3,'.',3,2014
,,,,
'Apolidi',329,254,583,2014
,,,,
'TOTALE         ',1.968.575,1.906.151,3.874.726,2014
