'WHERE','MALE','FEMALE','TOTAL','YEAR'
'EUROPA (a)',378.419,561.603,940.022,2021
'Centro-orientale',378.416,561.597,940.013,2021
' Albania',193.428,187.692,381.120,2021
' Bielorussia',1.561,7.084,8.645,2021
' Bosnia-Erzegovina',10.597,9.093,19.690,2021
' Kosovo',23.365,18.669,42.034,2021
' Macedonia, Repubblica di',28.930,27.648,56.578,2021
' Moldova',37.839,76.285,114.124,2021
' Montenegro',660,776,1.436,2021
' Russia, Federazione',6.997,31.664,38.661,2021
'Serbia e Montenegro (b)',3.207,3.086,6.293,2021
' Serbia',13.650,14.516,28.166,2021
' Turchia',11.134,8.643,19.777,2021
' Ucraina',47.048,176.441,223.489,2021
'Altri paesi europei',3,6,9,2021
' Andorra',3,6,9,2021
,,,,
'AFRICA',614.699,413.220,1.027.919,2021
'Settentrionale',375.193,279.101,654.294,2021
' Algeria',11.348,7.288,18.636,2021
' Egitto',92.257,46.460,138.717,2021
' Libia',1.767,805,2.572,2021
' Marocco',211.201,186.688,397.889,2021
'Sud Sudan, Repubblica del',82,64,146,2021
' Sudan',1.638,450,2.088,2021
' Tunisia',56.900,37.346,94.246,2021
'Occidentale',210.433,105.326,315.759,2021
' Benin',1.339,883,2.222,2021
' Burkina Faso',8.055,4.289,12.344,2021
' Capo Verde',1.237,2.592,3.829,2021
' Costa d''Avorio',14390,8.838,23.228,2021
' Gambia',12.796,588,13.384,2021
' Ghana',27.031,15.465,42.496,2021
' Guinea',6.722,1.428,8.150,2021
' Guinea Bissau',1.317,195,1.512,2021
' Liberia',646,146,792,2021
' Mali',13.948,728,14.676,2021
' Mauritania',542,219,761,2021
' Niger',944,269,1.213,2021
' Nigeria',50.273,41.346,91.619,2021
' Senegal',67.084,26.270,93.354,2021
' Sierra Leone',1.077,419,1.496,2021
' Togo',3.032,1.651,4.683,2021
'Orientale',17.444,17.981,35.425,2021
' Burundi',219,334,553,2021
' Comore',2,3,5,2021
' Eritrea',3.371,3.496,6.867,2021
' Etiopia',2.752,4.307,7.059,2021
' Gibuti',16,10,26,2021
' Kenya',892,1.535,2.427,2021
' Madagascar',428,983,1.411,2021
' Malawi',36,35,71,2021
' Mauritius',2.042,2.782,4.824,2021
' Mozambico',141,210,351,2021
' Ruanda',233,300,533,2021
' Seychelles',117,275,392,2021
' Somalia',6.161,2.555,8.716,2021
' Tanzania',556,590,1.146,2021
' Uganda',273,322,595,2021
' Zambia',115,118,233,2021
' Zimbabwe',90,126,216,2021
'Centro-meridionale',11.629,10.812,22.441,2021
' Angola',503,523,1.026,2021
' Botswana',9,10,19,2021
' Camerun',7.197,6.307,13.504,2021
' Centrafricana, Rep.',110,63,173,2021
' Ciad',246,77,323,2021
' Congo',1.012,967,1.979,2021
' Congo,Rep.Democratica',2044,2.122,4.166,2021
' Gabon',126,164,290,2021
' Guinea equatoriale',39,66,105,2021
' Lesotho',12,8,20,2021
' Namibia',12,27,39,2021
' Sao Tome''e Principe',12,12,24,2021
' Sud Africa',295,458,753,2021
' Swaziland',12,8,20,2021
,,,,
'ASIA',571.851,470.941,1.042.792,2021
'Occidentale',25.244,28.141,53.385,2021
'Arabia Saudita',126,47,173,2021
'Armenia',426,695,1.121,2021
'Azerbaigian',531,486,1.017,2021
'Bahrein',19,10,29,2021
