'WHERE','MALE','FEMALE','TOTAL','YEAR'
'EUROPA (a)',427.703,610.168,1.037.871,2019
'Centro-orientale',427.703,610.168,1.037.871,2019
' Albania',218.642,209.690,428.332,2019
' Bielorussia',1.642,7.212,8.854,2019
' Bosnia-Erzegovina',12.428,10.455,22.883,2019
' Kosovo',26.493,20.470,46.963,2019
' Macedonia, Repubblica di',34833,31.687,66.520,2019
' Moldova',41.889,83.396,125.285,2019
' Montenegro',885,966,1.851,2019
' Russia, Federazione',7428,32.123,39.551,2019
'Serbia e Montenegro (b)',4.685,4.279,8.964,2019
' Serbia',15.900,16.422,32.322,2019
' Turchia',12.663,9.625,22.288,2019
' Ucraina',50.215,183.843,234.058,2019
,,,,
'AFRICA',715.716,445.169,1.160.885,2019
'Settentrionale',410.627,296.824,707.451,2019
' Algeria',13.627,8.361,21.988,2019
' Egitto',96.493,46.323,142.816,2019
' Libia',1.644,817,2.461,2019
' Marocco',233.037,201.132,434.169,2019
'Sud Sudan, Repubblica del',62,31,93,2019
' Sudan',2.159,516,2.675,2019
' Tunisia',63.605,39.644,103.249,2019
'Occidentale',268.762,115.755,384.517,2019
' Benin',1.702,1.000,2.702,2019
' Burkina Faso',9.782,4.883,14.665,2019
' Capo Verde',1.349,2.764,4.113,2019
' Costa d''Avorio',20299,10.473,30.772,2019
' Gambia',20.430,601,21.031,2019
' Ghana',33.276,17.534,50.810,2019
' Guinea',10.199,1.642,11.841,2019
' Guinea Bissau',1.923,176,2.099,2019
' Liberia',1.110,202,1.312,2019
' Mali',21.142,852,21.994,2019
' Mauritania',737,249,986,2019
' Niger',1.196,306,1.502,2019
' Nigeria',62.190,44.598,106.788,2019
' Senegal',78.239,28.017,106.256,2019
' Sierra Leone',1.490,524,2.014,2019
' Togo',3.698,1.934,5.632,2019
'Orientale',22.806,20.462,43.268,2019
' Burundi',227,346,573,2019
' Comore',5,2,7,2019
' Eritrea',5.205,4.069,9.274,2019
' Etiopia',3.272,4.846,8.118,2019
' Gibuti',17,13,30,2019
' Kenya',1.002,1.630,2.632,2019
' Madagascar',441,1.049,1.490,2019
' Malawi',46,35,81,2019
' Mauritius',2.401,3.173,5.574,2019
' Mozambico',145,220,365,2019
' Ruanda',288,304,592,2019
' Seychelles',131,312,443,2019
' Somalia',8.490,3.290,11.780,2019
' Tanzania',585,601,1.186,2019
' Uganda',326,317,643,2019
' Zambia',129,120,249,2019
' Zimbabwe',96,135,231,2019
'Centro-meridionale',13.521,12.128,25.649,2019
' Angola',675,607,1.282,2019
' Botswana',6,9,15,2019
' Camerun',8.245,7.147,15.392,2019
' Centrafricana, Rep.',152,76,228,2019
' Ciad',357,99,456,2019
' Congo',1.258,1.138,2.396,2019
' Congo,Rep.Democratica',2315,2.351,4.666,2019
' Gabon',129,157,286,2019
' Guinea equatoriale',39,54,93,2019
' Lesotho',15,6,21,2019
' Namibia',17,23,40,2019
' Sao Tome''e Principe',14,18,32,2019
' Sud Africa',287,433,720,2019
' Swaziland',12,10,22,2019
,,,,
'ASIA',631.915,498.568,1.130.483,2019
'Occidentale',26.480,28.196,54.676,2019
'Arabia Saudita',175,106,281,2019
'Armenia',457,762,1.219,2019
'Azerbaigian',565,440,1.005,2019
'Bahrein',20,10,30,2019
'Emirati Arabi Uniti',11,8,19,2019
'Georgia',2.751,12.554,15.305,2019
'Giordania',1.237,847,2.084,2019
'Iran',6294,6.129,12.423,2019
'Iraq',5.359,1.245,6.604,2019
'Israele',1.128,938,2.066,2019
'Kuwait',78,14,92,2019
'Libano',2.806,1.645,4.451,2019
