'WHERE','MALE','FEMALE','TOTAL','YEAR'
'EUROPA',510.978,676.616,1.187.594,2013
'Centro-orientale',508.599,673.461,1.182.060,2013
' Albania',261.632,236.129,497.761,2013
' Bielorussia',1.542,7.185,8.727,2013
' Bosnia-Erzegovina',16.617,13.263,29.880,2013
' Croazia',11.082,10.548,21.630,2013
' Macedonia,ex Rep.Jugoslava',46.077,37.371,83.448,2013
' Moldova',49.333,99.898,149.231,2013
' Russia, Federazione',6.744,31.475,38.219,2013
' Serbia/ Kosovo/ Montenegro (a)',57.401,49.097,106.498,2013
' Turchia',12.846,9.232,22.078,2013
' Ucraina',45.325,179.263,224.588,2013
'Altri paesi non comunitari',2.379,3.155,5.534,2013
' Andorra','-','-','-',2013
' Città del Vaticano','-','-','-',2013
' Islanda',11,39,50,2013
' Liechtenstein',8,4,12,2013
' Monaco','-','-','-',2013
' Norvegia',116,264,380,2013
' San Marino',324,282,606,2013
' Svizzera',1.920,2.566,4.486,2013
,,,,
'AFRICA',689.579,460.598,1.150.177,2013
'Settentrionale',475.124,316.389,791.513,2013
' Algeria',18.254,10.363,28.617,2013
' Egitto',87.592,35.937,123.529,2013
' Libia',1.104,544,1.648,2013
' Marocco',288.242,225.132,513.374,2013
'Sud Sudan, Repubblica del',6,1,7,2013
' Sudan',2.401,454,2.855,2013
' Tunisia',77.525,43.958,121.483,2013
'Occidentale',179.321,108.085,287.406,2013
' Benin',1.724,1.209,2.933,2013
' Burkina Faso',10.287,5.375,15.662,2013
' Capo Verde',1.564,3.636,5.200,2013
' Costa d''Avorio',15.343,11.256,26.599,2013
' Gambia',1.244,315,1.559,2013
' Ghana',33.452,22.569,56.021,2013
' Guinea',3.106,1.581,4.687,2013
' Guinea Bissau',394,168,562,2013
' Liberia',1.514,300,1.814,2013
' Mali',3.697,539,4.236,2013
' Mauritania',708,302,1.010,2013
' Niger',945,407,1.352,2013
' Nigeria',32.675,33.956,66.631,2013
' Senegal',68.401,23.970,92.371,2013
' Sierra Leone',811,578,1.389,2013
' Togo',3.456,1.924,5.380,2013
'Orientale',22.216,24.406,46.622,2013
' Burundi',243,345,588,2013
' Comore',3,'.',3,2013
' Eritrea',5.830,5.663,11.493,2013
' Etiopia',3.535,5.885,9.420,2013
' Gibuti',15,11,26,2013
' Kenya',907,1.388,2.295,2013
' Madagascar',412,989,1.401,2013
' Malawi',32,32,64,2013
' Mauritius',4.004,4.930,8.934,2013
' Mozambico',164,237,401,2013
' Ruanda',303,307,610,2013
' Seychelles',166,428,594,2013
' Somalia',5.591,3.077,8.668,2013
