'WHERE','MALE','FEMALE','TOTAL','YEAR'
'EUROPA (a)',437.536,621.525,1.059.061,2018
'Centro-orientale',437.536,621.525,1.059.061,2018
' Albania',220.201,210.139,430.340,2018
' Bielorussia',1.630,7.224,8.854,2018
' Bosnia-Erzegovina',13.739,11.343,25.082,2018
' Kosovo',28.083,22.045,50.128,2018
' Macedonia, Repubblica di',36696,33.046,69.742,2018
' Moldova',42.379,85.253,127.632,2018
' Montenegro',894,981,1.875,2018
' Russia, Federazione',7373,32.657,40.030,2018
'Serbia e Montenegro (b)',7.180,6.673,13.853,2018
' Serbia',16.984,17.334,34.318,2018
' Turchia',12.483,9.479,21.962,2018
' Ucraina',49.894,185.351,235.245,2018
,,,,
'AFRICA',724.580,447.898,1.172.478,2018
'Settentrionale',422.222,298.701,720.923,2018
' Algeria',15.034,8.897,23.931,2018
' Egitto',96.091,44.560,140.651,2018
' Libia',1.459,758,2.217,2018
' Marocco',240.260,202.887,443.147,2018
'Sud Sudan, Repubblica del',45,20,65,2018
' Sudan',2.198,489,2.687,2018
' Tunisia',67.135,41.090,108.225,2018
'Occidentale',264.795,114.651,379.446,2018
' Benin',1.698,1.019,2.717,2018
' Burkina Faso',9.808,4.945,14.753,2018
' Capo Verde',1.409,3.035,4.444,2018
' Costa d''Avorio',20717,10.652,31.369,2018
' Gambia',18.765,561,19.326,2018
' Ghana',33.276,18.247,51.523,2018
' Guinea',10.439,1.686,12.125,2018
' Guinea Bissau',1.844,178,2.022,2018
' Liberia',1.120,207,1.327,2018
' Mali',19.637,830,20.467,2018
' Mauritania',763,274,1.037,2018
' Niger',1.136,335,1.471,2018
' Nigeria',60.671,43.314,103.985,2018
' Senegal',78.310,26.930,105.240,2018
' Sierra Leone',1.488,532,2.020,2018
' Togo',3.714,1.906,5.620,2018
'Orientale',23.936,22.169,46.105,2018
' Burundi',234,319,553,2018
' Comore',7,3,10,2018
' Eritrea',6.275,4.904,11.179,2018
' Etiopia',3.388,5.195,8.583,2018
' Gibuti',18,13,31,2018
' Kenya',973,1.618,2.591,2018
' Madagascar',439,990,1.429,2018
' Malawi',48,36,84,2018
' Mauritius',2.645,3.493,6.138,2018
' Mozambico',141,219,360,2018
' Ruanda',269,280,549,2018
' Seychelles',126,327,453,2018
' Somalia',8.293,3.620,11.913,2018
' Tanzania',566,602,1.168,2018
' Uganda',302,317,619,2018
' Zambia',119,122,241,2018
' Zimbabwe',93,111,204,2018
'Centro-meridionale',13.627,12.377,26.004,2018
' Angola',684,637,1.321,2018
' Botswana',9,10,19,2018
' Camerun',8.019,7.142,15.161,2018
' Centrafricana, Rep.',134,68,202,2018
' Ciad',347,97,444,2018
' Congo',1.522,1.371,2.893,2018
' Congo,Rep.Democratica',2402,2.383,4.785,2018
' Gabon',130,140,270,2018
' Guinea equatoriale',45,53,98,2018
' Lesotho',14,6,20,2018
' Namibia',12,22,34,2018
' Sao Tome''e Principe',14,17,31,2018
' Sud Africa',286,416,702,2018
' Swaziland',9,15,24,2018
,,,,
'ASIA',614.472,484.264,1.098.736,2018
'Occidentale',25.258,26.664,51.922,2018
'Arabia Saudita',167,77,244,2018
'Armenia',410,744,1.154,2018
'Azerbaigian',449,371,820,2018
'Bahrein',12,5,17,2018
'Emirati Arabi Uniti',12,8,20,2018
'Georgia',2.519,11.546,14.065,2018
'Giordania',1.398,934,2.332,2018
'Iran',6288,5.891,12.179,2018
'Iraq',4.613,1.074,5.687,2018
'Israele',1.157,952,2.109,2018
'Kuwait',87,14,101,2018
'Libano',2.903,1.773,4.676,2018
'Oman',26,6,32,2018
'Qatar',21,5,26,2018
'Siria',3.997,2.758,6.755,2018
'Territori dell''Autonomia Palestinese',1032,406,1.438,2018
'Yemen',167,100,267,2018
'Centro-meridionale',358.363,191.558,549.921,2018
'Afghanistan',15.573,914,16.487,2018
'Bangladesh',101.297,38.112,139.409,2018
'Bhutan',10,7,17,2018
'India',93.852,63.468,157.320,2018
'Kazakhstan',347,1.611,1.958,2018
'Kirghizistan',262,1.054,1.316,2018
'Maldive',16,4,20,2018
'Nepal',1.072,717,1.789,2018
'Pakistan',89.729,35.489,125.218,2018
'Sri Lanka',55.831,49.106,104.937,2018
'Tagikistan',27,29,56,2018
'Turkmenistan',16,57,73,2018
'Uzbekistan',331,990,1.321,2018
'Orientale',230.851,266.042,496.893,2018
'Brunei',2,2,4,2018
'Cambogia',48,136,184,2018
'Cina,Rep.Popolare',155305,153.805,309.110,2018
'Corea,Rep.Pop.Dem.',28,12,40,2018
'Corea,Rep.',1588,2.528,4.116,2018
'Filippine',68.935,92.674,161.609,2018
'Giappone',2.397,5.940,8.337,2018
'Indonesia',619,2.355,2.974,2018
'Laos',16,52,68,2018
'Malaysia',188,279,467,2018
'Mongolia',69,160,229,2018
'Myanmar ',105,198,303,2018
'Singapore',55,174,229,2018
'Taiwan',285,697,982,2018
'Thailandia',631,5.875,6.506,2018
'Timor Orientale',11,69,80,2018
'Vietnam',569,1.086,1.655,2018
,,,,
'AMERICA',142.839,238.885,381.724,2018
'Settentrionale  ',15.421,24.215,39.636,2018
' Canada',890,1.461,2.351,2018
' Stati Uniti',14.531,22.754,37.285,2018
'Centro-meridionale',127.418,214.670,342.088,2018
' Antigua e Barbuda',5,6,11,2018
' Argentina',3.531,4.997,8.528,2018
' Bahamas',12,9,21,2018
' Barbados',8,14,22,2018
' Belize',11,2,13,2018
' Bolivia',4.694,7.771,12.465,2018
' Brasile',11.398,31.831,43.229,2018
' Cile',1.320,1.955,3.275,2018
' Colombia',6.966,11.578,18.544,2018
' Costa Rica',171,352,523,2018
' Cuba',6.089,17.484,23.573,2018
' Dominica',218,482,700,2018
' Dominicana,Rep.',10360,17.995,28.355,2018
' Ecuador',32.755,44.304,77.059,2018
' El Salvador',5.272,8.103,13.375,2018
' Giamaica',68,93,161,2018
' Grenada',7,7,14,2018
' Guatemala',270,585,855,2018
' Guyana',1,15,16,2018
' Haiti',163,188,351,2018
' Honduras',580,1.396,1.976,2018
' Messico',1.809,3.493,5.302,2018
' Nicaragua',217,443,660,2018
' Panama',112,260,372,2018
' Paraguay',479,1.198,1.677,2018
' Peru''',37.886,54.083,91.969,2018
' Saint Kitts e Nevis',3,3,6,2018
' Saint Lucia',3,8,11,2018
' S.Vincent e Grenadine',' - ',' - ',' - ',2018
' Suriname',2,9,11,2018
' Trinidad e Tobago',15,43,58,2018
' Uruguay',460,760,1.220,2018
' Venezuela',2.533,5.203,7.736,2018
,,,,
'OCEANIA',909,1.453,2.362,2018
' Australia',667,1.161,1.828,2018
' Figi',8,17,25,2018
' Kiribati',' 1 ',2,3,2018
' Marshall,Isole',6,6,12,2018
' Micronesia,Stati federati',2,0,2,2018
' Nauru',1,' - ',1,2018
' Nuova Zelanda',178,209,387,2018
' Palau',3,2,5,2018
' Papua Nuova Guinea',9,15,24,2018
' Salomone,Isole',2,2,4,2018
' Samoa',23,27,50,2018
' Tonga',7,5,12,2018
' Tuvalu',1,5,6,2018
' Vanuatu',1,2,3,2018
,,,,2018
'Apolidi',316,257,573,2018
,,,,
'TOTALE         ',1.920.652,1.794.282,3.714.934,2018
