"Variabile","Maschi","Femmine","Totale"
"Popolazione straniera al 1° gennaio","2524644","2647250","5171894"
"Nati vivi stranieri","29041","27885","56926"
"Morti stranieri","5243","4757","10000"
"Saldo naturale anagrafico degli stranieri","23798","23128","46926"
"Stranieri iscritti in anagrafe da altro comune","136406","119761","256167"
"Stranieri cancellati dall'anagrafe per altro comune","136406","119761","256167"
"Saldo migratorio anagrafico interno degli stranieri","0","0","0"
"Stranieri iscritti in anagrafe dall'estero","126245","117362","243607"
"Stranieri cancellati dall'anagrafe per l'estero","31466","32627","64093"
"Saldo migratorio anagrafico estero degli stranieri","94779","84735","179514"
"Stranieri iscritti in anagrafe per altri motivi","7279","2342","9621"
"Stranieri cancellati dall'anagrafe per altri motivi","90151","65647","155798"
"Saldo anagrafico per altri motivi degli stranieri","-82872","-63305","-146177"
"Stranieri iscritti in anagrafe in totale","269930","239465","509395"
"Stranieri cancellati dall'anagrafe in totale","258023","218035","476058"
"Saldo migratorio anagrafico e per altri motivi degli stranieri","11907","21430","33337"
"Acquisizioni della cittadinanza italiana","59913","61544","121457"
"Unità straniere in più/meno dovute a variazioni territoriali","0","0","0"
"Saldo censuario totale stranieri","-32234","-67750","-99984"
"Popolazione straniera al 31 dicembre","2468202","2562514","5030716"
"Popolazione straniera residente in convivenza al 31 dicembre","99370","35103","134473"
"Popolazione straniera residente in famiglia al 31 dicembre","2368832","2527411","4896243"
"Informazioni","","",""
